incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident descriptio,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001477874,IBERIA,IBERIA,18/01/2021 02:01,18/01/2021 02:01,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001477876,IBERIA,IBERIA,18/01/2021 02:36,18/01/2021 02:36,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001477877,IBERIA,IBERIA,18/01/2021 03:14,18/01/2021 03:14,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477879,IBERIA,IBERIA,18/01/2021 03:21,19/01/2021 17:38,Closed,[PORTAL EMPLEADO]: Incidencias ficha,PeopleSoft Apps Support,Application Tower,RRHH,Baja,4-Baja,Processed all entry and exit timings which were recorded in our system for dates mentioned in ticket for user,Mantenimiento Corporativa y RRHH,INCIDENT,23/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,BCN AEROPUERTO,AUXILIAR MANTENIMIENTO (AMNLB00F)
INC000001477880,IBERIA,IBERIA,18/01/2021 03:25,18/01/2021 03:25,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad para poder reiniciarle la contraseña.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001477882,IBERIA,IBERIA,18/01/2021 03:28,18/01/2021 03:28,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001477883,IBERIA,IBERIA,18/01/2021 03:32,18/01/2021 03:32,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477884,IAG CARGO,IBERIA,18/01/2021 03:44,21/01/2021 04:33,Closed,Use Getting Error in Pre Invoiced in Cargo handling,CARGO-PORTAL,Application Tower,CARGO,Baja,4-Baja,"Issue:: Use Getting Error in Pre Invoiced in Cargo handling Impact:: User unable to closed the task for month Nov in cargo handling Analysis:: we have checked and found that this issue is coming due to data issue and currently we are working on Incident INC000001472110 <Steps Taken to Resolve>:: we have checked and found that this issue is coming due to data issue and currently we are working on Incident INC000001472110,Now closing the incident Problem Ticket Required? :: No Can this incident be prevented? :: No",Mantenimiento Cargo,INCIDENT,25/01/2021,SOFTWARE FAILURE,,3,SIN IDENTIFICAR,
INC000001477885,IBERIA,IBERIA,18/01/2021 03:46,18/01/2021 03:46,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477886,IBERIA,IBERIA,18/01/2021 03:56,18/01/2021 03:56,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477887,IBERIA,IBERIA,18/01/2021 03:59,18/01/2021 03:59,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477888,IBERIA,IBERIA,18/01/2021 04:14,18/01/2021 04:14,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477890,IBERIA,IBERIA,18/01/2021 04:44,18/01/2021 04:44,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (CARACAS),GERENCIA COM. VENEZUELA (ACW3S0C0)
INC000001477896,IBERIA,IBERIA,18/01/2021 06:04,18/01/2021 13:35,Closed,LINUX_sun - ibcwcsdel3.ib : Filesystem home is occupied 100.00%. Call out to SOPORTE LINUX-SISTEMA O,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,3-Medio,filesystem ok Filesystem Size Used Avail Use% Mounted on /dev/mapper/localVG-lv_home 3.9G 1.8G 1.9G 49% /home,Unidad de Operaciones Ordenadores,INCIDENT,22/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001477897,IBERIA,IBERIA,18/01/2021 06:08,18/01/2021 06:50,Closed,Solicita desbloqueo de usuario SAP.,SSCCLMZ,Service Ops Tower,Service Ops Tower,Baja,4-Baja,[L2] Se facilita password al usuario y confirma que accede,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),INSPECCIÓN RECEPCIÓN DE M (AMIC00CC)
INC000001477898,IBERIA,IBERIA,18/01/2021 11:22,18/01/2021 11:22,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TERMINAL T4,DESP. AVIONES_AG.CONSOLA (AHMDC01C)
INC000001477899,IBERIA,IBERIA,18/01/2021 06:36,18/01/2021 06:36,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,"Se le reinicia al usuario la contraseña siguiendo el proceso de seguridad, mediante retrollamada.",Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TALLER MOTORES,MNG TALLERES ESTRUCTURAS (AMITP2)
INC000001477900,IBERIA,IBERIA,18/01/2021 06:45,18/01/2021 06:45,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477901,IBERIA,IBERIA,18/01/2021 07:13,18/01/2021 07:13,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TALLER MOTORES,GESTIÓN DE MATERIALES (AMITJ0CB)
INC000001477903,IBERIA,IBERIA,18/01/2021 08:39,18/01/2021 08:39,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TALLER MOTORES,D. MOTORES (AMIT00)
INC000001477904,IBERIA,IBERIA,18/01/2021 06:56,18/01/2021 09:33,Closed,SIC023: KO in all daily files,Aplicaciones BI,Application Tower,BI,Baja,4-Baja,"Issue: KO in OBHCIP OBHCIP: KO proceso FICHERO OFFLINE_ENROLMENT (Comarch --> Iberia Cards) KO in OBHCIP OBHCIP: KO proceso FISION FICHERO PARTIAL_REVERSAL_20210114_08_27_28_IBC.trn KO in OBHCIP OBHCIP: KO proceso FISION FICHERO IB_CARD_ASSIGMENT OBHCIP: KO proceso FISION FICHERO GENERIC_ACCRUAL Analysis: Analyzed the issue and found that we have not received the files in the below location that's why load plan got failed. files directory: /obhcip/input/comarch Business Impact: Delay in file execution will impact Iberia cards since it holds Reversal points data, consumed by partners of the loyalty program and hence the users will not be able to see the updated Reversal points against their Iberia Cards. Resolution: Re ran the ODI Load plan for Partial Reversal file to successfully process the file. LP_DAILY_IBCARDS_IB_CARD_ASSIGMENT LP_DAILY_IBCARDS_GENERIC_ACCRUAL LP_DAILY_IBCARDS_PARTIAL_REVERSAL LP_DAILY_OFFLINE_ENROLMENT_TRN LP_DAILY_COMARCH_IB_CARD_ASSIGMENT_OUT LP_DAILY_COMARCH_GENERIC_ACCRUAL_OUT LP_DAILY_COMARCH_PARTIAL_REVERSAL_OUT LP_DAILY_OFFLINE_ENROLMENT_OUT CAN THIS ISSUE BE PREVENTED?: No. The File was delayed from the source Team and therefore, no issue with the application. PROBLEM TICKET REQUIRED?: No. As the files are received from the source Team. There was delay in sending the files due to which the load Plan failed.",Mantenimiento BI,INCIDENT,22/01/2021,PROCESS FAILURE,BATCH,0,SIN IDENTIFICAR,
INC000001477905,IBERIA,IBERIA,18/01/2021 07:09,22/01/2021 10:12,Closed,"GPR020:Los informes adjuntos no están llegando a diario, y tendrían que llegar a diario.",Aplicaciones BI,Application Tower,BI,Media,3-Medio,"Análisis: se estudia el alcance Acciones: ejecuciones manuales, comprobaciones y cambios OBI Pruebas:ok",Mantenimiento BI,INCIDENT,26/01/2021,SOFTWARE FAILURE,,4,SISTEMAS(MANDOS-ANÁLISIS-PRODU,MNG. SOPORTE DE APLICACIO (ASXAG1)
INC000001477906,IBERIA,IBERIA,18/01/2021 07:14,18/01/2021 07:14,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TALLER MOTORES,MNG PLANIFICACIÓN MATERIA (AMICTP)
INC000001477907,IBERIA,IBERIA,18/01/2021 07:12,22/01/2021 14:17,Closed,INCIDENCIA NCS BCN OPS,GSAN,Server Tower,Server Tower,Media,3-Medio,"Dear user, NAS slowness issue was resolved and able to access nas without any interrupts. We request to check and verify from your end. We are proceeding to close as nas is working as expected. If you still facing issues please reach out to us for further assistance.",Unidad de Operaciones Ordenadores,INCIDENT,26/01/2021,SOFTWARE FAILURE,,4,BCN AEROPUERTO,OPS CONTROL (AMNLB0PC)
INC000001477908,IBERIA,IBERIA,18/01/2021 07:31,19/01/2021 15:07,Closed,INC000001476246 - Error at NAS: problemas de lentitud en todos los equipos,GSAN,Server Tower,Server Tower,Media,3-Medio,We are following up on the problem ticket PBI000000084956 for the NAS accessibility issue. Also uploaded latest diagnostic logs and awaiting vendor analysis to identify the cause. We will further update the findings in the problem ticket. Hence proceeding with this incident closure.,Unidad de Operaciones Ordenadores,INCIDENT,23/01/2021,SOFTWARE FAILURE,,1,SIN IDENTIFICAR,
INC000001477909,IBERIA,IBERIA,18/01/2021 08:15,26/01/2021 14:28,Closed,UPLAS [PLA004]: error acceso a algunas funciones,JAVA Apps Support,Application Tower,RRHH,Baja,4-Baja,User does not respond after 3 attempts,Mantenimiento Corporativa y RRHH,INCIDENT,30/01/2021,SOFTWARE FAILURE,,8,BCN AEROPUERTO,OFICINA ADMINISTRATIVA BC (AMNLB00A)
INC000001477910,IBERIA,IBERIA,18/01/2021 07:28,18/01/2021 07:28,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,EDIF.101 - HANGAR 3,TMA CORTO MEDIO RADIO (AMNLP2TC)
INC000001477911,IBERIA,IBERIA,18/01/2021 07:28,18/01/2021 09:32,Closed,[AMO001] CONTRASEÑA,Flight OPS IB,Application Tower,FLIGHT OPERATIONS,Media,2-Alta,ACCIONES: se le indica al usuario que debe conectarse con la password corporativa de Iberia. PRUEBAS: no aplica. IMPACTO: sin impacto.,Mantenimiento Operaciones,INCIDENT,22/01/2021,SOFTWARE FAILURE,,0,EDIF.103 - HANGAR 1,MNG. REGISTROS TÉCNICOS (AMNB01)
INC000001477912,IBERIA,IBERIA,18/01/2021 07:46,20/01/2021 12:30,Closed,Fallo Software: no actualiza outlook,IAG EUC Remote Support,EUC,EUC,Media,3-Medio,Have checked with user today and he confirmed like everything is working fine now. Hence we closing this ticket with user confirmation.,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,24/01/2021,SOFTWARE FAILURE,,2,HANGAR 6,JEFE INGENIERIA ESTRUCTUR (AMIRT0S0)
INC000001477914,IBERIA,IBERIA,18/01/2021 07:45,19/01/2021 14:14,Closed,LINUX_sun - ibcovmman1.ib : Filesystem opt-splunkforwarder is occupied 90.01%. Call out to ORACLE-LI,ORACLE-LINUX-Support,Server Tower,Server Tower,Media,3-Medio,Housekeeping done,Unidad de Operaciones Ordenadores,INCIDENT,23/01/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001477915,IBERIA,IBERIA,18/01/2021 08:07,18/01/2021 08:07,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,NEO-MARTINEZ VILLERGAS 49,MNG SERVICE RECOVERY (BCLMI0)
INC000001477917,IBERIA,IBERIA,18/01/2021 08:02,18/01/2021 08:02,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001477918,IBERIA,IBERIA,18/01/2021 08:08,18/01/2021 08:08,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),FLOTA A320 (AVVIC0A0)
INC000001477919,IBERIA,IBERIA,18/01/2021 08:06,18/01/2021 08:06,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MNG CLIENTES ALTO VALOR_R (ALCO00CP)
INC000001477920,IBERIA,IBERIA,18/01/2021 08:16,20/01/2021 09:45,Closed,"INUX_ibm - El job: A52O7375 con OrderID: 5dayc del DataCenter: CTM_SERVER en la maquina: zlc, Aplica",USCIBMAM,Application Tower,Cobol Domain,Baja,4-Baja,Issue: Fallo A52O7375 Impact. Bajo Root causes: Fallo por fihcero con ciclo incorrecto. STeps taken: Se renombra el fichero y relanza el proceso.,Mantenimiento COBOL,INCIDENT,24/01/2021,PROCESS FAILURE,,2,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001477921,IBERIA,IBERIA,18/01/2021 08:11,22/01/2021 08:35,Closed,Control-M Server: Shout by orderno: 0005cwhk A60IGCA1 Mail message from CONTROL-M: Ha fallado el job,USCIBMAM,Application Tower,Cobol Domain,Baja,4-Baja,"Issue: Falla el proceso por un error de odate, ya que no existe el fichero de entrada para el odate generado pero sí para el del día en curso, que es el correcto. Impact: Sin impacto final. Root Cause: Hay algún problema en control-m con la generación del odate correcto por planificación. Steps Taken: Una vez comprobada la existencia del fichero con el odate correcto, se pide a planificación cargarlo y lanzarlo con el odate correcto y se borra el fallado con el odate erróneo.",Mantenimiento COBOL,INCIDENT,26/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,4,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001477922,IBERIA,IBERIA,18/01/2021 08:35,18/01/2021 08:35,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,NEO-MARTINEZ VILLERGAS 49,MNG GESTIÓN CONTROL EXTER (ALCSC0)
INC000001477923,IBERIA,IBERIA,18/01/2021 08:10,18/01/2021 08:10,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TALLER MOTORES,MNG OPERACIONES ALMACÉN (AMRF01)
INC000001477925,IBERIA,IBERIA,18/01/2021 08:21,18/01/2021 08:21,Closed,Información petición,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.,Unidad Control del Servicio,INCIDENT,22/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR (ANT.ZONA INDUSTRIAL),GEREN.SAFETY MAN. SYSTEM (AP1000AZ)
INC000001477929,IBERIA,IBERIA,18/01/2021 08:41,18/01/2021 09:50,Closed,Solicita desbloqueo de usuario SAP.,SSCCLMZ,Service Ops Tower,Service Ops Tower,Baja,4-Baja,[L2] Se facilita password al usuario,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TALLER MOTORES,MNG OPERACIONES ALMACÉN (AMRF01)
INC000001477930,IBERIA,IBERIA,18/01/2021 08:39,18/01/2021 08:39,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001477931,IBERIA,IBERIA,18/01/2021 09:00,18/01/2021 12:30,Closed,Problemas de conectividad: No funciona la red en el edificio 216 de La Muñoza (Banco Pruebas Motor),Conectividad de red,Network Tower,Network Tower,Media,3-Medio,"RFO> Se comprueba que funciona correctamente, no se detecta ningún problema.",Unidad de Instalaciones y Telecomunicaciones,INCIDENT,22/01/2021,COMMUNICATIONS FAILURE,,0,TALLER MOTORES,MNG BANCO DE PRUEBAS (AMITM4)
INC000001477932,IBERIA,IBERIA,18/01/2021 08:46,18/01/2021 10:21,Closed,Y - Fallo Software: AIRMAN WEB,IAG EUC Remote Support,EUC,EUC,Media,3-Medio,Took remote and update the java. Hence it is working fine. Hence with user confirmation we are closing the ticket.,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,22/01/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MAINTROL (AMNLR00C)
INC000001477933,IBERIA,IBERIA,18/01/2021 08:53,18/01/2021 12:14,Closed,"Tanya: error fecha 15.01.2021. ""No existe fichero o fichero vacío para la fecha""",Flight OPS IB,Application Tower,FLIGHT OPERATIONS,Baja,4-Baja,Impacto: No se podida cargar/valorar los vuelos en Tanya para el día 15. Solución: Se han regenerado los ficheros para el día 15 de forma manual. Se informa al usuario y nos confirma que esta ya correcto. Pruebas OK,Mantenimiento Operaciones,INCIDENT,22/01/2021,ACCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001477934,IBERIA,IBERIA,18/01/2021 08:50,18/01/2021 08:50,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,NEO-MARTINEZ VILLERGAS 49,MNG GESTIÓN CONTROL EXTER (ALCSC0)
INC000001477935,IBERIA,IBERIA,18/01/2021 09:23,18/01/2021 09:23,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477936,IBERIA,IBERIA,18/01/2021 09:03,18/01/2021 09:03,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (ROMA),ITALIA/ROMA/RCL (ALSAAIRE)
INC000001477937,IBERIA,IBERIA,18/01/2021 08:54,18/01/2021 17:03,Closed,Modificar clonación de ProdC,SYS,Application Tower,PSS,Baja,4-Baja,Se eliminan rotarios y mensajes de PIDs y colas,Mantenimiento Pasaje,INCIDENT,22/01/2021,DEFAULT,,0,SIN IDENTIFICAR,
INC000001477938,IBERIA,IBERIA,18/01/2021 08:57,18/01/2021 17:04,Closed,"Corregir horas de NAN, TVU y VBV después de cambio de FIJI",SYS,Application Tower,PSS,Baja,4-Baja,Se modifican las horas de diferencia con MAD de +12 a +11,Mantenimiento Pasaje,INCIDENT,22/01/2021,DEFAULT,,0,SIN IDENTIFICAR,
INC000001477939,IBERIA,IBERIA,18/01/2021 09:03,18/01/2021 09:03,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001477943,IBERIA,IBERIA,18/01/2021 09:06,22/01/2021 12:31,Closed,Fallo Software:CONEXION POR CABLE INTERNET,Cabling Maintenance,Network Tower,Network Tower,Media,3-Medio,RFO> Se cambia latiguillo de red,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,26/01/2021,SOFTWARE FAILURE,,4,TALLER MOTORES,MODULOS (AMITM0BB)
INC000001477944,IBERIA,IBERIA,18/01/2021 09:09,18/01/2021 09:09,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,IBZ AEROPUERTO,MANAGER AEROPUERTO IBIZA (AHAKI0)
INC000001477945,IBERIA,IBERIA,18/01/2021 09:12,18/01/2021 09:12,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001477946,IBERIA,IBERIA,18/01/2021 09:36,22/01/2021 17:04,Closed,[PORTAL EMPLEADO],PeopleSoft Apps Support,Application Tower,RRHH,Baja,4-Baja,User confirmed issue resolved,Mantenimiento Corporativa y RRHH,INCIDENT,26/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,4,EDIF.101 - HANGAR 3,TMA PROD LINEA MAD (AMNLL0GC)
INC000001477947,IBERIA,IBERIA,18/01/2021 09:14,18/01/2021 17:58,Closed,Error at NAS:INC000001474966,GSAN,Server Tower,Server Tower,Baja,4-Baja,We have migrated the EVS to secondary node and we are working with Vendor for the HNAS upgrade plan. We are also working with EUC and e secuirty team for the BAD IP as suggested by hitachi vendor. Currently the share is accessible and no issues observed. Also the share has enough space after the housekeeping has been performed. We are following up on PBI000000084956 for the Intermittent issues accessing NAS and incident reference # INC000001472354,Unidad de Operaciones Ordenadores,INCIDENT,22/01/2021,ACCESS FAILURE,,0,NEO-MARTINEZ VILLERGAS 49,MNG. GEST. NÓMINAS (3YRN00)
INC000001477948,IBERIA,IBERIA,18/01/2021 09:10,18/01/2021 09:10,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,"Se le reinicia al usuario la contraseña siguiendo el proceso de seguridad, mediante retrollamada.",Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,IBZ AEROPUERTO,MANAGER AEROPUERTO IBIZA (AHAKI0)
INC000001477949,IBERIA,IBERIA,18/01/2021 09:15,18/01/2021 09:15,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MNG. CONTROL MANT. NZI (APXC00NZ)
INC000001477950,IBERIA,IBERIA,18/01/2021 09:24,18/01/2021 09:24,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,22/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TERMINAL T4,GEST.EQUIPAJES_SERV.AUX (AHMDT01X)
INC000001477955,IAG CARGO,IBERIA,18/01/2021 04:17,18/01/2021 12:48,Closed,LINUX_sun - wlcarga1.ib : Pool JDBC iagcargo1^iagcargo1^portalcarga+bdlcarga+fenix no Activo. Avisar,CARGO-PORTAL,Application Tower,CARGO,Media,3-Medio,"[Issue]:LINUX_sun - wlcarga1.ib : Pool JDBC iagcargo1^iagcargo1^portalcarga+bdlcarga+fenix no Activo. Avisar   [Impact]: IAGPORTAL application will stop working.   [Analysis]: We have checked the application logs and found that due to shared pool error in FENIX the exception occurs in the logs   [Step Taken to Resolve]: Fenix team going to upgrade the oracle version.   [Problem Ticket Required? (Yes, No).]:No   [Can this incident be prevented? (Yes, No)]:No",Mantenimiento Cargo,INCIDENT,22/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
